我的收藏,#genre#

翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7

cctv1,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
cctv1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
cctv1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
cctv1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
cctv1,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
cctv1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
cctv1,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8
cctv1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
cctv1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
cctv1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
cctv1,http://183.196.25.171:808/hls/1/index.m3u8
cctv1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
cctv1,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
cctv1,http://api2.52tb.xyz/info?id=2&token=20230326xflvzc
cctv1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
cctv1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
cctv1,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
cctv1,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8

cctv2,http://hms104nc1972679566.live.aikan.miguvideo.com/wh7f454c46tw3468827325_440542616/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208125733&ContentId=265667329&timezone=UTC&mtv_session=f739dcaed0e05c0e9e14fa47d0810c20&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c4d54a337744e33e655349fe312a5eed
cctv2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
cctv2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
cctv2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
cctv2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
cctv2,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
cctv2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
cctv2,http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8
cctv2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
cctv2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
cctv2,http://183.196.25.171:808/hls/2/index.m3u8
cctv2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
cctv2,http://api2.52tb.xyz/info?id=3&token=20230326xflvzc
cctv2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
cctv2,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8

cctv3,http://hms44nc1972679560.live.aikan.miguvideo.com/wh7f454c46tw3692367231_1716696590/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130116&ContentId=265667206&timezone=UTC&mtv_session=09b9584da7231a3b6c6b2c20aa3572d6&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9cf165e747cb07e1e8dd89226e53387
cctv3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
cctv3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
cctv3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
cctv3,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
cctv3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
cctv3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
cctv3,http://183.196.25.171:808/hls/75/index.m3u8
cctv3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
cctv3,http://api2.52tb.xyz/info?id=4&token=20230326xflvzc
cctv3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
cctv3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
cctv3,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
cctv3,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
